gc 1 @0.001s 3%: 0.079+0.18+0.012 ms clock, 0.63+0.052/0.11/0+0.10 ms cpu, 7->8->0 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 2 @0.002s 4%: 0.086+0.13+0.003 ms clock, 0.69+0.066/0.089/0+0.026 ms cpu, 7->7->0 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 3 @0.003s 4%: 0.017+0.20+0.038 ms clock, 0.13+0.033/0.083/0+0.30 ms cpu, 7->8->0 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 4 @0.004s 4%: 0.046+0.18+0.016 ms clock, 0.36+0.064/0.11/0+0.12 ms cpu, 7->8->0 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @0.005s 4%: 0.036+0.24+0.002 ms clock, 0.29+0.043/0.072/0+0.019 ms cpu, 7->8->1 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @0.006s 4%: 0.074+0.15+0.045 ms clock, 0.59+0.042/0.090/0+0.36 ms cpu, 6->7->0 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 7 @0.007s 4%: 0.078+0.21+0.003 ms clock, 0.63+0.028/0.082/0+0.030 ms cpu, 6->8->1 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 8 @0.008s 5%: 0.095+0.60+0.071 ms clock, 0.76+0.092/0.17/0+0.56 ms cpu, 6->8->2 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 9 @0.009s 5%: 0.042+0.37+0.053 ms clock, 0.34+0.041/0.10/0+0.43 ms cpu, 6->8->2 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 10 @0.010s 5%: 0.067+0.35+0.070 ms clock, 0.54+0.032/0.10/0+0.56 ms cpu, 6->8->1 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 11 @0.012s 5%: 0.075+0.27+0.035 ms clock, 0.60+0.031/0.092/0+0.28 ms cpu, 6->8->2 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 12 @0.013s 5%: 0.074+0.18+0.055 ms clock, 0.59+0.035/0.096/0+0.44 ms cpu, 6->7->1 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 13 @0.014s 5%: 0.038+0.31+0.020 ms clock, 0.31+0.022/0.097/0+0.16 ms cpu, 6->7->1 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 14 @0.015s 5%: 0.061+0.38+0.10 ms clock, 0.48+0.13/0.12/0+0.81 ms cpu, 6->7->1 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 15 @0.016s 5%: 0.089+0.31+0.020 ms clock, 0.71+0.041/0.10/0+0.16 ms cpu, 6->8->2 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 16 @0.017s 6%: 0.083+0.53+0.15 ms clock, 0.66+0.034/0.11/0+1.2 ms cpu, 6->9->3 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 17 @0.018s 6%: 0.074+0.41+0.019 ms clock, 0.59+0.057/0.15/0+0.15 ms cpu, 8->10->2 MB, 10 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 18 @0.020s 6%: 0.063+0.36+0.026 ms clock, 0.51+0.055/0.087/0+0.21 ms cpu, 6->9->2 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 19 @0.021s 6%: 0.081+0.34+0.053 ms clock, 0.65+0.049/0.097/0+0.42 ms cpu, 7->9->2 MB, 9 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 20 @0.022s 6%: 0.054+0.38+0.024 ms clock, 0.43+0.028/0.16/0+0.19 ms cpu, 6->8->2 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 8 P
