gc 33 @0.013s 12%: 0.066+0.18+0.15 ms clock, 0.52+0.10/0.061/0+1.2 ms cpu, 1->3->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 34 @0.014s 12%: 0.054+0.086+0.002 ms clock, 0.43+0.051/0.064/0+0.019 ms cpu, 2->3->0 MB, 3 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 35 @0.014s 12%: 0.10+0.21+0.019 ms clock, 0.84+0.033/0.070/0+0.15 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 36 @0.015s 12%: 0.11+0.087+0.003 ms clock, 0.88+0.036/0.066/0+0.027 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 37 @0.015s 12%: 0.086+0.23+0.033 ms clock, 0.69+0.028/0.066/0+0.26 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 38 @0.016s 12%: 0.063+0.14+0.003 ms clock, 0.50+0.048/0.068/0+0.028 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 39 @0.016s 12%: 0.068+0.20+0.022 ms clock, 0.55+0.032/0.10/0+0.18 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 40 @0.016s 12%: 0.072+0.11+0.004 ms clock, 0.58+0.048/0.069/0+0.035 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 41 @0.017s 12%: 0.058+0.21+0.001 ms clock, 0.46+0.036/0.081/0+0.015 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 42 @0.017s 12%: 0.041+0.079+0.018 ms clock, 0.32+0.048/0.063/0+0.14 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 43 @0.017s 12%: 0.070+0.22+0.029 ms clock, 0.56+0.038/0.071/0+0.23 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 44 @0.018s 12%: 0.049+0.075+0.002 ms clock, 0.39+0.046/0.064/0+0.019 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 45 @0.018s 12%: 0.060+0.25+0.14 ms clock, 0.48+0.052/0.071/0+1.1 ms cpu, 1->3->2 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 46 @0.019s 12%: 0.065+0.20+0.025 ms clock, 0.52+0.036/0.070/0+0.20 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 47 @0.019s 12%: 0.057+0.11+0.011 ms clock, 0.45+0.049/0.065/0+0.093 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 48 @0.020s 12%: 0.064+0.14+0.016 ms clock, 0.51+0.033/0.072/0+0.13 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 49 @0.020s 12%: 0.051+0.082+0.002 ms clock, 0.41+0.038/0.070/0+0.018 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 50 @0.020s 12%: 0.057+0.15+0.031 ms clock, 0.45+0.032/0.072/0+0.25 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 51 @0.021s 12%: 0.040+0.081+0.001 ms clock, 0.32+0.065/0.087/0+0.014 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 52 @0.021s 12%: 0.076+0.14+0.044 ms clock, 0.61+0.053/0.067/0+0.35 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 53 @0.021s 12%: 0.056+0.088+0.002 ms clock, 0.44+0.047/0.067/0+0.016 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 54 @0.022s 12%: 0.088+0.29+0.023 ms clock, 0.70+0.041/0.073/0+0.18 ms cpu, 1->3->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 55 @0.022s 12%: 0.064+0.10+0.011 ms clock, 0.51+0.055/0.076/0+0.091 ms cpu, 3->3->0 MB, 3 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 56 @0.023s 12%: 0.088+0.18+0.003 ms clock, 0.70+0.027/0.10/0.001+0.027 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 57 @0.023s 12%: 0.052+0.092+0.002 ms clock, 0.41+0.054/0.068/0+0.017 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 58 @0.023s 12%: 0.055+0.18+0.002 ms clock, 0.44+0.030/0.083/0+0.017 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 59 @0.024s 12%: 0.046+0.081+0.002 ms clock, 0.37+0.055/0.069/0+0.020 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 60 @0.024s 12%: 0.032+0.16+0.002 ms clock, 0.25+0.027/0.10/0+0.023 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 61 @0.024s 12%: 0.049+0.11+0.002 ms clock, 0.39+0.064/0.083/0+0.017 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 62 @0.025s 12%: 0.052+0.31+0.037 ms clock, 0.41+0.028/0.090/0+0.29 ms cpu, 1->3->2 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 63 @0.025s 12%: 0.062+0.14+0.018 ms clock, 0.50+0.027/0.085/0.002+0.14 ms cpu, 3->4->0 MB, 3 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 64 @0.026s 12%: 0.075+0.088+0.002 ms clock, 0.60+0.051/0.078/0+0.017 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 65 @0.026s 12%: 0.071+0.14+0.016 ms clock, 0.57+0.033/0.081/0+0.13 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 66 @0.026s 12%: 0.051+0.078+0.002 ms clock, 0.41+0.052/0.069/0+0.018 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 67 @0.027s 12%: 0.064+0.14+0.002 ms clock, 0.51+0.030/0.088/0+0.018 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 68 @0.027s 12%: 0.045+0.069+0.002 ms clock, 0.36+0.045/0.073/0+0.022 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 69 @0.027s 12%: 0.073+0.15+0.015 ms clock, 0.58+0.044/0.099/0+0.12 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 70 @0.028s 12%: 0.087+0.099+0.010 ms clock, 0.70+0.045/0.076/0+0.086 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 71 @0.028s 12%: 0.054+0.15+0.029 ms clock, 0.43+0.033/0.086/0+0.23 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 72 @0.028s 12%: 0.073+0.099+0.003 ms clock, 0.58+0.056/0.078/0+0.026 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 73 @0.029s 12%: 0.10+0.18+0.013 ms clock, 0.84+0.034/0.086/0+0.10 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 74 @0.029s 12%: 0.058+0.086+0.002 ms clock, 0.46+0.043/0.074/0+0.017 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 75 @0.030s 12%: 0.069+0.25+0.011 ms clock, 0.55+0.031/0.10/0+0.088 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 76 @0.030s 12%: 0.060+0.068+0.003 ms clock, 0.48+0.044/0.076/0+0.027 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 77 @0.030s 12%: 0.065+0.26+0.057 ms clock, 0.52+0.041/0.080/0+0.46 ms cpu, 1->3->2 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 78 @0.031s 12%: 0.072+0.13+0.002 ms clock, 0.58+0.045/0.086/0+0.016 ms cpu, 3->3->0 MB, 3 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 79 @0.031s 12%: 0.070+0.13+0.002 ms clock, 0.56+0.046/0.10/0+0.022 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 80 @0.032s 12%: 0.078+0.12+0.004 ms clock, 0.62+0.050/0.090/0+0.037 ms cpu, 1->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 81 @0.032s 12%: 0.062+0.21+0.020 ms clock, 0.50+0.034/0.094/0+0.16 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 82 @0.032s 12%: 0.061+0.087+0.004 ms clock, 0.49+0.065/0.094/0+0.037 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 83 @0.033s 12%: 0.044+0.23+0.040 ms clock, 0.35+0.038/0.094/0+0.32 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 84 @0.033s 12%: 0.065+0.085+0.002 ms clock, 0.52+0.051/0.078/0+0.019 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 85 @0.034s 12%: 0.078+0.17+0.002 ms clock, 0.62+0.031/0.10/0+0.020 ms cpu, 1->2->1 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 86 @0.034s 12%: 0.054+0.081+0.002 ms clock, 0.43+0.070/0.073/0+0.017 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
