gc 1 @0.000s 3%: 0.022+0.15+0.004 ms clock, 0.17+0.072/0.068/0+0.036 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 2 @0.001s 7%: 0.082+0.14+0.004 ms clock, 0.66+0.062/0.11/0+0.032 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 3 @0.001s 8%: 0.050+0.070+0.003 ms clock, 0.40+0.037/0.063/0+0.024 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 4 @0.001s 9%: 0.065+0.080+0.007 ms clock, 0.52+0.040/0.064/0+0.058 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @0.002s 9%: 0.074+0.092+0.003 ms clock, 0.59+0.067/0.072/0+0.025 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @0.002s 10%: 0.10+0.079+0.002 ms clock, 0.86+0.033/0.057/0+0.019 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 7 @0.002s 10%: 0.077+0.083+0.011 ms clock, 0.61+0.031/0.069/0+0.095 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 8 @0.003s 11%: 0.069+0.061+0.025 ms clock, 0.55+0.036/0.060/0+0.20 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 9 @0.003s 11%: 0.086+0.069+0.012 ms clock, 0.69+0.032/0.065/0+0.096 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 10 @0.003s 11%: 0.053+0.068+0.002 ms clock, 0.42+0.031/0.063/0+0.020 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 11 @0.004s 11%: 0.066+0.094+0.002 ms clock, 0.53+0.049/0.056/0+0.023 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 12 @0.004s 11%: 0.063+0.11+0.002 ms clock, 0.50+0.035/0.050/0+0.018 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 13 @0.004s 12%: 0.072+0.091+0.009 ms clock, 0.57+0.032/0.061/0+0.077 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 14 @0.005s 12%: 0.074+0.14+0.003 ms clock, 0.59+0.021/0.069/0+0.027 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 15 @0.005s 12%: 0.086+0.082+0.017 ms clock, 0.69+0.033/0.058/0+0.14 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 16 @0.005s 12%: 0.060+0.074+0.002 ms clock, 0.48+0.042/0.059/0+0.019 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 17 @0.006s 12%: 0.079+0.077+0.002 ms clock, 0.63+0.037/0.071/0+0.017 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 18 @0.006s 12%: 0.059+0.075+0.002 ms clock, 0.47+0.037/0.065/0+0.019 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 19 @0.006s 12%: 0.059+0.10+0.002 ms clock, 0.47+0.025/0.078/0+0.020 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 20 @0.007s 12%: 0.054+0.092+0.002 ms clock, 0.43+0.035/0.064/0+0.017 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 21 @0.007s 12%: 0.049+0.11+0.013 ms clock, 0.39+0.022/0.067/0+0.10 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 22 @0.007s 12%: 0.054+0.12+0.012 ms clock, 0.43+0.023/0.088/0+0.097 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 23 @0.008s 12%: 0.053+0.076+0.002 ms clock, 0.43+0.035/0.062/0+0.020 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 24 @0.008s 12%: 0.051+0.078+0.004 ms clock, 0.41+0.051/0.063/0+0.033 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 25 @0.008s 12%: 0.056+0.12+0.011 ms clock, 0.45+0.067/0.10/0+0.088 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 26 @0.008s 12%: 0.076+0.12+0.017 ms clock, 0.61+0.046/0.082/0+0.14 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 27 @0.009s 12%: 0.059+0.11+0.002 ms clock, 0.47+0.041/0.079/0+0.020 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 28 @0.009s 12%: 0.079+0.082+0.002 ms clock, 0.63+0.040/0.085/0+0.021 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 29 @0.010s 12%: 0.092+0.087+0.002 ms clock, 0.74+0.039/0.044/0.028+0.020 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 30 @0.010s 12%: 0.057+0.071+0.002 ms clock, 0.46+0.025/0.063/0+0.023 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 31 @0.010s 12%: 0.10+0.11+0.011 ms clock, 0.87+0.031/0.12/0+0.090 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 32 @0.011s 12%: 0.028+0.16+0.002 ms clock, 0.23+0.095/0.12/0+0.019 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 33 @0.011s 12%: 0.083+0.11+0.001 ms clock, 0.67+0.089/0.12/0+0.014 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 34 @0.012s 12%: 0.091+0.13+0.019 ms clock, 0.72+0.049/0.083/0+0.15 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 35 @0.012s 12%: 0.046+0.089+0.020 ms clock, 0.36+0.031/0.078/0+0.16 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 36 @0.012s 12%: 0.10+0.13+0.003 ms clock, 0.84+0.048/0.096/0+0.030 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 37 @0.013s 13%: 0.051+0.099+0.003 ms clock, 0.41+0.042/0.10/0+0.024 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 38 @0.013s 12%: 0.076+0.12+0.002 ms clock, 0.61+0.036/0.10/0+0.019 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 39 @0.013s 12%: 0.071+0.11+0.002 ms clock, 0.57+0.033/0.079/0+0.020 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 40 @0.014s 12%: 0.039+0.12+0.003 ms clock, 0.31+0.049/0.075/0+0.025 ms cpu, 1->1->0 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 41 @0.014s 12%: 0.068+0.18+0.014 ms clock, 0.54+0.047/0.10/0+0.11 ms cpu, 1->2->1 MB, 1 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 42 @0.015s 12%: 0.082+0.095+0.002 ms clock, 0.65+0.089/0.086/0+0.019 ms cpu, 2->2->0 MB, 2 MB goal, 0 MB stacks, 0 MB globals, 8 P
