gc 33 @0.199s 6%: 0.17+2.8+0.20 ms clock, 1.3+0.13/2.2/0.54+1.6 ms cpu, 68->84->18 MB, 90 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 34 @0.210s 6%: 0.12+1.1+0.099 ms clock, 0.96+0.042/0.96/0+0.79 ms cpu, 69->76->8 MB, 91 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 35 @0.217s 6%: 0.096+1.2+0.13 ms clock, 0.77+0.045/1.0/0+1.0 ms cpu, 33->40->8 MB, 44 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 36 @0.222s 6%: 0.063+2.6+0.038 ms clock, 0.50+0.093/1.0/0+0.30 ms cpu, 33->48->16 MB, 44 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 37 @0.230s 6%: 0.075+4.6+0.15 ms clock, 0.60+0.10/1.5/0+1.2 ms cpu, 64->90->28 MB, 83 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 38 @0.244s 6%: 0.16+1.1+0.14 ms clock, 1.3+0.21/1.5/0+1.1 ms cpu, 115->120->8 MB, 141 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 39 @0.255s 5%: 0.11+3.9+0.11 ms clock, 0.90+0.094/1.9/0+0.89 ms cpu, 32->51->21 MB, 42 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 40 @0.268s 5%: 0.10+2.7+0.11 ms clock, 0.80+0.18/1.8/0+0.90 ms cpu, 82->96->16 MB, 108 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 41 @0.282s 5%: 0.084+4.1+0.12 ms clock, 0.67+0.11/2.0/0+0.99 ms cpu, 63->87->26 MB, 83 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 42 @0.296s 5%: 0.12+4.6+0.18 ms clock, 0.97+0.10/5.0/0+1.5 ms cpu, 101->122->23 MB, 133 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 43 @0.312s 5%: 0.14+2.6+0.14 ms clock, 1.1+0.10/1.6/0.67+1.1 ms cpu, 92->105->15 MB, 118 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 44 @0.327s 5%: 0.094+6.7+0.083 ms clock, 0.75+0.069/2.4/0+0.67 ms cpu, 61->86->28 MB, 80 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 45 @0.345s 5%: 0.14+5.9+0.16 ms clock, 1.1+0.25/4.7/0+1.3 ms cpu, 116->135->22 MB, 144 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 46 @0.367s 5%: 0.12+10+0.25 ms clock, 1.0+1.5/8.9/0+2.0 ms cpu, 85->114->32 MB, 111 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 47 @0.394s 5%: 0.10+7.7+0.14 ms clock, 0.86+0.094/9.8/0+1.1 ms cpu, 132->144->16 MB, 164 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 48 @0.421s 5%: 0.15+6.3+0.079 ms clock, 1.2+0.45/7.0/0.66+0.63 ms cpu, 63->84->24 MB, 83 MB goal, 0 MB stacks, 0 MB globals, 8 P
