gc 1 @0.000s 4%: 0.031+0.10+0.002 ms clock, 0.25+0.055/0.088/0+0.023 ms cpu, 3->4->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 2 @0.001s 6%: 0.11+0.13+0.012 ms clock, 0.88+0.047/0.072/0+0.099 ms cpu, 3->4->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 3 @0.001s 6%: 0.047+0.086+0.002 ms clock, 0.37+0.036/0.066/0+0.020 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 4 @0.002s 6%: 0.074+0.13+0.017 ms clock, 0.59+0.039/0.065/0+0.14 ms cpu, 3->4->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @0.003s 7%: 0.078+0.13+0.027 ms clock, 0.62+0.036/0.060/0+0.21 ms cpu, 3->4->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @0.003s 7%: 0.079+0.17+0.003 ms clock, 0.63+0.054/0.069/0+0.027 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 7 @0.004s 7%: 0.091+0.12+0.023 ms clock, 0.73+0.042/0.065/0.004+0.18 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 8 @0.004s 7%: 0.057+0.17+0.002 ms clock, 0.46+0.041/0.061/0+0.021 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 9 @0.005s 7%: 0.048+0.11+0.012 ms clock, 0.39+0.037/0.067/0+0.097 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 10 @0.005s 7%: 0.089+0.15+0.019 ms clock, 0.71+0.036/0.058/0+0.15 ms cpu, 3->4->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 11 @0.006s 8%: 0.087+0.11+0.016 ms clock, 0.70+0.042/0.051/0+0.12 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 12 @0.006s 9%: 0.067+0.15+0.14 ms clock, 0.54+0.041/0.068/0+1.1 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 13 @0.007s 9%: 0.062+0.22+0.015 ms clock, 0.49+0.039/0.071/0+0.12 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 14 @0.008s 9%: 0.10+0.19+0.019 ms clock, 0.84+0.024/0.084/0+0.15 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 15 @0.008s 9%: 0.064+0.27+0.043 ms clock, 0.51+0.037/0.083/0+0.34 ms cpu, 3->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 16 @0.009s 9%: 0.067+0.26+0.023 ms clock, 0.54+0.031/0.094/0+0.18 ms cpu, 3->5->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 17 @0.010s 9%: 0.030+0.14+0.008 ms clock, 0.24+0.027/0.069/0+0.066 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 18 @0.010s 9%: 0.073+0.19+0.072 ms clock, 0.58+0.049/0.080/0+0.58 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 19 @0.011s 9%: 0.062+0.17+0.003 ms clock, 0.50+0.046/0.066/0+0.030 ms cpu, 3->4->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 20 @0.011s 9%: 0.048+0.13+0.032 ms clock, 0.38+0.033/0.065/0+0.26 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 21 @0.012s 9%: 0.077+0.21+0.023 ms clock, 0.61+0.040/0.077/0+0.18 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 22 @0.012s 9%: 0.020+0.14+0.013 ms clock, 0.16+0.025/0.083/0+0.11 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
